,Unnamed: 0,Date,Symbol,Close,Adj Close,Name,Sector,Name_low2,url
207,416026,2023-02-03,HLT,146.82000732421875,146.82000732421875,Hilton Worldwide,Consumer Discretionary,hilton,https://app.outboundsales.io/api/logo/hilton.com
208,418063,2023-02-03,HOLX,84.68000030517578,84.68000030517578,Hologic,Health Care,hologic,https://app.outboundsales.io/api/logo/hologic.com
209,420100,2023-02-03,HON,202.69000244140625,202.69000244140625,Honeywell,Industrials,honeywell,https://app.outboundsales.io/api/logo/honeywell.com
210,421937,2023-02-03,HPE,16.329999923706055,16.329999923706055,Hewlett Packard Enterprise,Information Technology,hewlett,https://app.outboundsales.io/api/logo/hewlett.com
211,423974,2023-02-03,HPQ,30.51000022888184,30.51000022888184,HP,Information Technology,hp,https://app.outboundsales.io/api/logo/hp.com
212,426011,2023-02-03,HRL,45.2400016784668,45.2400016784668,Hormel,Consumer Staples,hormel,https://app.outboundsales.io/api/logo/hormel.com
213,428048,2023-02-03,HSIC,86.76000213623047,86.76000213623047,Henry Schein,Health Care,henry,https://app.outboundsales.io/api/logo/henry.com
214,430085,2023-02-03,HST,19.06999969482422,19.06999969482422,Host Hotels & Resorts,Real Estate,host,https://app.outboundsales.io/api/logo/host.com
215,432122,2023-02-03,HSY,236.27999877929688,236.27999877929688,The Hershey Company,Consumer Staples,the,https://app.outboundsales.io/api/logo/the.com
216,434159,2023-02-03,HUM,476.5700073242188,476.5700073242188,Humana,Health Care,humana,https://app.outboundsales.io/api/logo/humana.com
217,435734,2023-02-03,HWM,39.86000061035156,39.86000061035156,Howmet Aerospace,Industrials,howmet,https://app.outboundsales.io/api/logo/howmet.com
218,437771,2023-02-03,IBM,136.94000244140625,136.94000244140625,IBM,Information Technology,ibm,https://app.outboundsales.io/api/logo/ibm.com
219,439808,2023-02-03,ICE,107.66000366210938,107.66000366210938,Intercontinental Exchange,Financials,intercontinental,https://app.outboundsales.io/api/logo/intercontinental.com
220,441845,2023-02-03,IDXX,482.4100036621094,482.4100036621094,Idexx Laboratories,Health Care,idexx,https://app.outboundsales.io/api/logo/idexx.com
221,443882,2023-02-03,IEX,229.83999633789065,229.83999633789065,IDEX Corporation,Industrials,idex,https://app.outboundsales.io/api/logo/idex.com
222,445919,2023-02-03,IFF,113.33000183105467,113.33000183105467,International Flavors & Fragrances,Materials,international,https://app.outboundsales.io/api/logo/international.com
223,447956,2023-02-03,ILMN,214.25999450683597,214.25999450683597,Illumina,Health Care,illumina,https://app.outboundsales.io/api/logo/illumina.com
224,449993,2023-02-03,INCY,83.61000061035156,83.61000061035156,Incyte,Health Care,incyte,https://app.outboundsales.io/api/logo/incyte.com
225,452030,2023-02-03,INTC,30.31999969482422,30.31999969482422,Intel,Information Technology,intel,https://app.outboundsales.io/api/logo/intel.com
226,454067,2023-02-03,INTU,423.760009765625,423.760009765625,Intuit,Information Technology,intuit,https://app.outboundsales.io/api/logo/intuit.com
227,456104,2023-02-03,IP,41.36000061035156,41.36000061035156,International Paper,Materials,international,https://app.outboundsales.io/api/logo/international.com
228,458141,2023-02-03,IPG,39.11000061035156,39.11000061035156,Interpublic Group,Communication Services,interpublic,https://app.outboundsales.io/api/logo/interpublic.com
229,460178,2023-02-03,IQV,237.17999267578125,237.17999267578125,IQVIA,Health Care,iqvia,https://app.outboundsales.io/api/logo/iqvia.com
230,461621,2023-02-03,IR,57.11000061035156,57.11000061035156,Ingersoll Rand,Industrials,ingersoll,https://app.outboundsales.io/api/logo/ingersoll.com
231,463658,2023-02-03,IRM,55.52999877929688,55.52999877929688,Iron Mountain,Real Estate,iron,https://app.outboundsales.io/api/logo/iron.com
