,Unnamed: 0,Date,Symbol,Close,Adj Close,Name,Sector
532790,532790,2023-02-03,LOW,215.97000122070312,215.97000122070312,Lowe's,Consumer Discretionary
534827,534827,2023-02-03,LRCX,529.25,529.25,Lam Research,Information Technology
536864,536864,2023-02-03,LUMN,5.260000228881836,5.260000228881836,Lumen Technologies,Communication Services
538901,538901,2023-02-03,LUV,36.34999847412109,36.34999847412109,Southwest Airlines,Industrials
540938,540938,2023-02-03,LVS,58.08000183105469,58.08000183105469,Las Vegas Sands,Consumer Discretionary
542506,542506,2023-02-03,LW,98.12000274658205,98.12000274658205,Lamb Weston,Consumer Staples
544543,544543,2023-02-03,LYB,98.1500015258789,98.1500015258789,LyondellBasell,Materials
546580,546580,2023-02-03,LYV,79.80000305175781,79.80000305175781,Live Nation Entertainment,Communication Services
548617,548617,2023-02-03,MA,373.9100036621094,373.9100036621094,Mastercard,Information Technology
550654,550654,2023-02-03,MAA,173.0500030517578,173.0500030517578,Mid-America Apartments,Real Estate
552691,552691,2023-02-03,MAR,174.42999267578125,174.42999267578125,Marriott International,Consumer Discretionary
554728,554728,2023-02-03,MAS,55.38999938964844,55.38999938964844,Masco,Industrials
556765,556765,2023-02-03,MCD,264.2300109863281,264.2300109863281,McDonald's,Consumer Discretionary
558802,558802,2023-02-03,MCHP,85.33999633789062,85.33999633789062,Microchip Technology,Information Technology
560839,560839,2023-02-03,MCK,362.5799865722656,362.5799865722656,McKesson Corporation,Health Care
562876,562876,2023-02-03,MCO,324.3599853515625,324.3599853515625,Moody's Corporation,Financials
564913,564913,2023-02-03,MDLZ,65.91000366210938,65.91000366210938,Mondelez International,Consumer Staples
566950,566950,2023-02-03,MDT,87.0999984741211,87.0999984741211,Medtronic,Health Care
568987,568987,2023-02-03,MET,69.79000091552734,69.79000091552734,MetLife,Financials
571024,571024,2023-02-03,MGM,41.709999084472656,41.709999084472656,MGM Resorts International,Consumer Discretionary
573061,573061,2023-02-03,MHK,125.26000213623048,125.26000213623048,Mohawk Industries,Consumer Discretionary
575098,575098,2023-02-03,MKC,74.54000091552734,74.54000091552734,McCormick & Company,Consumer Staples
577135,577135,2023-02-03,MKTX,345.8999938964844,345.8999938964844,MarketAxess,Financials
579172,579172,2023-02-03,MLM,360.6300048828125,360.6300048828125,Martin Marietta Materials,Materials
581209,581209,2023-02-03,MMC,171.8800048828125,171.8800048828125,Marsh & McLennan,Financials
583246,583246,2023-02-03,MMM,117.48999786376952,117.48999786376952,3M,Industrials
585283,585283,2023-02-03,MNST,101.8000030517578,101.8000030517578,Monster Beverage,Consumer Staples
587320,587320,2023-02-03,MO,46.90999984741211,46.90999984741211,Altria Group,Consumer Staples
589357,589357,2023-02-03,MOS,50.43999862670898,50.43999862670898,The Mosaic Company,Materials
591394,591394,2023-02-03,MPC,118.1999969482422,118.1999969482422,Marathon Petroleum,Energy
593431,593431,2023-02-03,MPWR,456.2999877929688,456.2999877929688,Monolithic Power Systems,Information Technology
595468,595468,2023-02-03,MRK,102.94000244140624,102.94000244140624,Merck & Co.,Health Care
596515,596515,2023-02-03,MRNA,173.25,173.25,Moderna,Health Care
598552,598552,2023-02-03,MRO,26.030000686645508,26.030000686645508,Marathon Oil,Energy
600589,600589,2023-02-03,MS,99.43000030517578,99.43000030517578,Morgan Stanley,Financials
